market,notional
robotaxi,2.0
robotaxi,5.0
robotaxi,20.0
robotaxi,5.0
robotaxi,50.0
robotaxi,4.795918367346939
robotaxi,48.958333333333336
robotaxi,1.5000000000000002
robotaxi,14.387755102040817
robotaxi,3.0
robotaxi,15.0
robotaxi,100.0
robotaxi,38.68420983
robotaxi,37.89473616
robotaxi,37.10526249
robotaxi,43.07894653
robotaxi,7.038359461016952
robotaxi,10.0
robotaxi,50.0
robotaxi,9.565217391304348
robotaxi,42.0
robotaxi,47.826086956521735
robotaxi,8.4
robotaxi,1.9130434782608694
robotaxi,23.913043478260867
robotaxi,9.361702127659575
robotaxi,1.0
robotaxi,99.60000000000001
robotaxi,1.9655172413793107
robotaxi,50.0
robotaxi,3.906976744186047
robotaxi,4.7727272727272725
robotaxi,5.5
robotaxi,2.0
robotaxi,2.05
robotaxi,24.568965517241384
robotaxi,14.318181818181818
robotaxi,3.4021141649048516
robotaxi,84.0
robotaxi,107.94672304439747
robotaxi,2.0499999999999994
robotaxi,40.0
robotaxi,3.9999999999999996
robotaxi,16.399999999999995
robotaxi,5.0
robotaxi,5.0
robotaxi,10.0
robotaxi,10.0
robotaxi,1.5
robotaxi,0.18
robotaxi,0.14898488846701524
robotaxi,3.951015111532984
robotaxi,9.4
robotaxi,10.0
robotaxi,20.0
robotaxi,2.0
robotaxi,39.29824561403509
robotaxi,49.12280701754386
robotaxi,58.94736842105263
robotaxi,4.1000000000000005
robotaxi,5.0
robotaxi,5.0
robotaxi,2.05
robotaxi,4.912280701754386
robotaxi,100.0
robotaxi,39.89898488846701
robotaxi,100.0
robotaxi,10.0
robotaxi,30.000000000000004
robotaxi,100.0
robotaxi,7.868420470000002
robotaxi,5.0
robotaxi,11.852594641532981
robotaxi,5.0
robotaxi,63.859649122807014
robotaxi,100.0
robotaxi,92.45964912280708
robotaxi,2.0500000000000003
robotaxi,20.0
robotaxi,5.0
robotaxi,195.0
robotaxi,2.0
robotaxi,20.0
robotaxi,10.0
robotaxi,2.0
robotaxi,50.0
robotaxi,1.024390243902439
robotaxi,7.540350877192919
robotaxi,30.0
robotaxi,19.649122807017545
robotaxi,1.5
robotaxi,2.5999999999999996
robotaxi,30.0
robotaxi,300.0
robotaxi,40.0
robotaxi,5.0
robotaxi,30.0
robotaxi,10.0
robotaxi,5.0
robotaxi,50.0
robotaxi,15.0
robotaxi,3.599999999999999
robotaxi,7.9655172413792705
robotaxi,80.0
robotaxi,2.0
robotaxi,10.0
robotaxi,30.0
robotaxi,10.0
robotaxi,10.0
robotaxi,2.0
robotaxi,52.00000000000001
robotaxi,40.33006073898304
robotaxi,48.15789387
robotaxi,5.0
robotaxi,3.0
robotaxi,2.6382728723404227
robotaxi,20.0
robotaxi,20.0
robotaxi,2.0
robotaxi,22.034482758620733
robotaxi,40.0
robotaxi,150.43126826417299
robotaxi,0.1
robotaxi,8.4
robotaxi,42.0
robotaxi,0.32
robotaxi,4.2
robotaxi,20.0
robotaxi,4.2
robotaxi,10.0
robotaxi,30.0
robotaxi,10.0
robotaxi,0.2631571700000007
robotaxi,10.2
robotaxi,39.53684282999999
robotaxi,11.238389382352949
robotaxi,2.5
robotaxi,1.261610617647051
robotaxi,48.73838938235295
robotaxi,1.5
robotaxi,99.76161061764705
robotaxi,29.4
robotaxi,2.45
robotaxi,0.98
robotaxi,5.0
robotaxi,0.5000000000000006
robotaxi,4.9
robotaxi,0.49
robotaxi,40.0
robotaxi,10.0
robotaxi,1.3508771929824575
robotaxi,18.630000000000003
robotaxi,5.0
robotaxi,50.0
robotaxi,32.36842047
robotaxi,8.421053200000001
robotaxi,2.94
robotaxi,3.0
robotaxi,3.0
robotaxi,50.0
robotaxi,5.0
robotaxi,5.0
robotaxi,30.0
robotaxi,5.0
robotaxi,20.0
robotaxi,49.107142857142854
robotaxi,3.3469387755102042
robotaxi,2.86046511627907
robotaxi,8.913043478260871
robotaxi,3.5969439342976806
robotaxi,2.1
robotaxi,8.0
robotaxi,2.9464285714285716
robotaxi,25.664404366397726
robotaxi,4.9
robotaxi,12.0
robotaxi,26.875
robotaxi,18.137315270936007
robotaxi,2.0
robotaxi,9.1578936
robotaxi,36.578946529999996
robotaxi,30.842106400000002
robotaxi,0.8
robotaxi,12.3
robotaxi,35.0
robotaxi,30.0
robotaxi,3.0
robotaxi,10.0
robotaxi,25.0
robotaxi,4.35
robotaxi,4.1000000000000005
robotaxi,193.09
robotaxi,4.2
robotaxi,20.0
robotaxi,38.99999999999999
robotaxi,59.0
robotaxi,2.7100000000000044
robotaxi,40.0
robotaxi,1.5
robotaxi,12.0
robotaxi,2.0
robotaxi,32.800000000000004
robotaxi,10.0
robotaxi,15.0
robotaxi,2.05
robotaxi,10.0
robotaxi,6.789999999999993
robotaxi,59.0
robotaxi,500.00000000000006
robotaxi,150.0
robotaxi,8.6
robotaxi,1.3999999999999995
robotaxi,3.5000000000000004
robotaxi,4.2
robotaxi,0.84
robotaxi,104.36857142857144
robotaxi,256.13123645818285
robotaxi,29.999999000000003
robotaxi,13.8684212
robotaxi,8.4
robotaxi,420.0
robotaxi,0.84
robotaxi,84.0
robotaxi,15.0
robotaxi,3.36
robotaxi,1.7999999999999998
robotaxi,10.0
robotaxi,2.6362035217391204
robotaxi,29.363796478260877
robotaxi,0.6362035217391212
robotaxi,10.0
robotaxi,2.0
robotaxi,4.163796478260878
robotaxi,1.2
robotaxi,20.836203521739122
robotaxi,3.0
robotaxi,33.15789387
robotaxi,39.16379647826088
robotaxi,38.97573840546005
robotaxi,0.09770176999999955
robotaxi,10.0
robotaxi,1.0
robotaxi,16.84210613
robotaxi,40.0
robotaxi,12.3
robotaxi,3.0
robotaxi,4.999999999999999
robotaxi,10.0
robotaxi,4.0
robotaxi,500.00000000000006
robotaxi,82.0
robotaxi,1.7999999999999998
robotaxi,19.999999999999996
robotaxi,21.919139169999987
robotaxi,2.0
robotaxi,0.13952688372093114
robotaxi,6.0
robotaxi,9.761904761904763
robotaxi,7.179429184374324
robotaxi,0.82
robotaxi,12.3
robotaxi,0.35
robotaxi,9.999999999999998
robotaxi,46.16
robotaxi,12.886623779946763
robotaxi,12.3
robotaxi,41.0
robotaxi,41.0
robotaxi,72.5139470356789
robotaxi,9.761904761904763
robotaxi,39.99999999999999
robotaxi,10.0
robotaxi,9.838709677419354
robotaxi,25.331578800000006
robotaxi,3.0
robotaxi,1.6684211999999945
robotaxi,11.54
robotaxi,13.460000000000003
robotaxi,1.4634146341463414
robotaxi,19.0
robotaxi,9.523809523809524
robotaxi,19.5
robotaxi,0.78
robotaxi,1.5
robotaxi,1.0173913043478264
robotaxi,40.26315717
robotaxi,10.2
robotaxi,76.5
robotaxi,1.53
robotaxi,22.44
robotaxi,1.02
robotaxi,30.6
robotaxi,51.0
robotaxi,66.44684283000001
robotaxi,5.0
robotaxi,336.55315717
robotaxi,5.1
robotaxi,25.5
robotaxi,25.5
robotaxi,51.0
robotaxi,41.05263084
robotaxi,10.19607843137255
robotaxi,50.0
robotaxi,7.9999999999999964
robotaxi,1.04
robotaxi,104.0
robotaxi,104.0
robotaxi,1.04
robotaxi,104.0
robotaxi,5.2
robotaxi,26.0
robotaxi,603.4712907286275
robotaxi,1056.34684283
robotaxi,400.0
robotaxi,10.0
robotaxi,481.9481211478129
robotaxi,1.1400000000000001
robotaxi,250.0
robotaxi,3.0
robotaxi,25.0
robotaxi,25.0
robotaxi,10.0
robotaxi,34.2
robotaxi,5.0
robotaxi,15.0
robotaxi,10.0
robotaxi,2850.0
robotaxi,50.0
robotaxi,1.0
robotaxi,10.0
robotaxi,25.5
robotaxi,2.2
robotaxi,5.2
robotaxi,10.399998960000001
robotaxi,5.2
robotaxi,10.4
robotaxi,25.0
robotaxi,17.1
robotaxi,100.0
robotaxi,1.04
robotaxi,57.99999999999999
robotaxi,5.8
robotaxi,3.0000000000000004
robotaxi,130.0
robotaxi,260.0
robotaxi,13.0
robotaxi,424.56000104
robotaxi,10.0
robotaxi,100.0
robotaxi,69.09999999999981
robotaxi,46.900000000000176
robotaxi,5.0
robotaxi,5.0
robotaxi,53.099999999999824
robotaxi,4.900000000000174
robotaxi,5.8
robotaxi,9.299999999999827
robotaxi,2.3000000000001726
robotaxi,17.69999999999983
robotaxi,2.0
robotaxi,30.0
robotaxi,1.0
robotaxi,38.68420983
robotaxi,37.89473616
robotaxi,37.10526249
robotaxi,1.5
robotaxi,2.0
robotaxi,7.5
robotaxi,2.6349999999999993
robotaxi,10.0
robotaxi,5.0
robotaxi,100.0
robotaxi,15.4
robotaxi,49.99999999999976
robotaxi,2.6299999999999994
robotaxi,25.0
robotaxi,5.0
robotaxi,20.098039215686274
robotaxi,10.0
robotaxi,28.19607843137255
robotaxi,10.0
robotaxi,5.0
robotaxi,100.72289794661086
robotaxi,11.6
robotaxi,25.0
robotaxi,25.0
robotaxi,1.5
robotaxi,100.0
robotaxi,15.0
robotaxi,5.8
robotaxi,500.0
robotaxi,1160.0
robotaxi,10.0
robotaxi,28.999999999999996
robotaxi,40.599999999999994
robotaxi,22.94894653
robotaxi,27.509545901694917
robotaxi,2.9
robotaxi,30.0
robotaxi,5.8
robotaxi,50.0
robotaxi,25.0
robotaxi,2.0
robotaxi,73.08
robotaxi,10.0
robotaxi,10.8
robotaxi,10.0
robotaxi,5.8
robotaxi,11.6
robotaxi,2.6960784313725483
robotaxi,17.926682773755765
robotaxi,3.0
robotaxi,2.0
robotaxi,2.0
robotaxi,0.0733172262442352
robotaxi,2.600000000000002
robotaxi,2.0
robotaxi,2.0
robotaxi,3.0
robotaxi,4.0
robotaxi,5.926682773755765
robotaxi,2.9499999999999997
robotaxi,35.4
robotaxi,0.019999999999999574
robotaxi,61.650000000000006
robotaxi,2.941176470588235
robotaxi,4.915254237288136
robotaxi,100.0
robotaxi,1.889994999999999
robotaxi,50.0
robotaxi,4.0
robotaxi,32.36842047
robotaxi,31.5789468
robotaxi,8.102824106847835
robotaxi,7.800000000000001
robotaxi,50.0
robotaxi,9.827586206896553
robotaxi,4.4565217391304355
robotaxi,1.7931034482758623
robotaxi,3.7818181818181817
robotaxi,0.5059999999999985
robotaxi,2.6739130434782608
robotaxi,4.56140350877193
robotaxi,20.0
robotaxi,10.0
robotaxi,300.0
robotaxi,20.0
robotaxi,350.0
robotaxi,12.0
robotaxi,8.0
robotaxi,50.0
robotaxi,3.0
robotaxi,19.0
robotaxi,1.06
robotaxi,7.986038253939936
robotaxi,31.0
robotaxi,9.0
robotaxi,4.0
robotaxi,20.0
robotaxi,20.0
robotaxi,10.0
robotaxi,2.0
robotaxi,40.0
robotaxi,2.0
robotaxi,24.232746477055922
robotaxi,3.0
robotaxi,0.9692307692307708
robotaxi,1.6
robotaxi,20.0
robotaxi,1.4307692307692292
robotaxi,12.0
robotaxi,1.4756572608695624
robotaxi,3.0
robotaxi,50.0
robotaxi,10.0
robotaxi,122.0935735083612
robotaxi,5.8999999999999995
robotaxi,9.010909090909092
robotaxi,50.0
robotaxi,77.90642649163881
robotaxi,15.0
robotaxi,2.0
robotaxi,10.0
robotaxi,3.0
robotaxi,4.0
robotaxi,15.0
robotaxi,20.0
robotaxi,50.0
robotaxi,10.0
ethereum,44.827000000000005
ethereum,3.9999999999999996
ethereum,41.8015
ethereum,46.775999999999996
ethereum,10.0
ethereum,19.0
ethereum,5.8
ethereum,175.2
ethereum,15.0
ethereum,3.0
ethereum,3.0
ethereum,25.0
ethereum,3.5
ethereum,10.0
ethereum,55.299999999999976
ethereum,5.8
ethereum,57.4955
ethereum,58.47
ethereum,27.195482758620727
ethereum,30.0
ethereum,15.0
ethereum,1.1400000000000001
ethereum,8.86
ethereum,10.0
ethereum,500.0
ethereum,10.0
ethereum,15.0
ethereum,20.0
ethereum,2.0
ethereum,4.4
ethereum,10.0
ethereum,187.30769230769232
ethereum,3.0
ethereum,16.999999999999996
ethereum,2.8000000000000003
ethereum,112.69230769230768
ethereum,300.0
ethereum,3.36
ethereum,2.2
ethereum,1.840000000000002
ethereum,25.0
ethereum,15.0
ethereum,45.6
ethereum,2.0
ethereum,10.0
ethereum,10.0
ethereum,5.0
ethereum,1.307142857142858
ethereum,8.669090909090908
ethereum,8.130909090909093
ethereum,56.0
ethereum,8.0
ethereum,10.0
ethereum,3.8
ethereum,4.139999999999936
ethereum,0.36000000000006394
ethereum,10.0
ethereum,60.0
ethereum,56.0
ethereum,287.5
ethereum,9.639999999999937
ethereum,0.36000000000006294
ethereum,30.0
ethereum,11.2
ethereum,12.0
ethereum,13.8
ethereum,8.35
ethereum,8.4
ethereum,4.639999999999937
ethereum,0.6660140000000639
ethereum,1482.6554487179487
ethereum,4.7
ethereum,312.6445512820512
ethereum,14.333985999999937
ethereum,2.8500000000000005
ethereum,14.0
ethereum,7.816014000000063
ethereum,100.0
ethereum,7.0
ethereum,93.91909090909091
ethereum,25.0
ethereum,3.0
ethereum,5.0
ethereum,2.0
ethereum,258.27921112599677
ethereum,41.72078887400322
ethereum,3.0
ethereum,1.5
ethereum,30.0
ethereum,3.0
ethereum,4.779211125996767
ethereum,13.8
ethereum,2.17
ethereum,97.79322033898306
ethereum,7.0
ethereum,10.0
ethereum,2.0
ethereum,25.220788874003237
ethereum,1.0
ethereum,5.057444435746866
ethereum,16.0
ethereum,5.087719298245613
ethereum,14.912280701754387
ethereum,16.157719298245613
ethereum,7.355448717949025
ethereum,8.85
ethereum,12.17639553429027
ethereum,4.7
ethereum,162.537303800253
ethereum,29.999999999999996
ethereum,4.0
ethereum,3.944551282050976
ethereum,19.555448717949027
ethereum,14.1
ethereum,9.833333333333334
ethereum,9.6
ethereum,114.0
ethereum,11.399999999999999
ethereum,8.55
ethereum,1.12
ethereum,25.0
ethereum,1.4000000000000004
ethereum,3.291428571428571
ethereum,3.0
ethereum,30.0
ethereum,3.0
ethereum,1.0
ethereum,5.0
ethereum,14.745762711864405
ethereum,85.62497768450142
ethereum,25.0
ethereum,13.020000000000001
ethereum,114.0
ethereum,200.0
ethereum,100.0
ethereum,25.0
ethereum,28.500892857142862
ethereum,10.0
ethereum,8.55
ethereum,30.0
ethereum,20.0
ethereum,2.8500000000000005
ethereum,115.40412945835567
ethereum,5.0
ethereum,14.0
ethereum,9.297872340425533
ethereum,70.0
ethereum,0.6
ethereum,1.5
ethereum,1.1396491228070178
ethereum,3.9200000000000004
ethereum,3.036363636363636
ethereum,2.8
ethereum,6.963636363636363
ethereum,2.0
ethereum,5.0
ethereum,99.21845680030798
ethereum,200.0
ethereum,280.0
ethereum,70.71
ethereum,3.0
ethereum,150.07154319969206
ethereum,4.0
ethereum,0.05964912280701862
ethereum,151.13589393067696
ethereum,7.199999999999999
ethereum,38.0
ethereum,12.548528689655173
ethereum,40.07447131034483
ethereum,51.648500000000006
ethereum,50.67400000000001
ethereum,14.79
ethereum,5.5
ethereum,9.43611111111111
ethereum,15.000000000000002
ethereum,57.4955
ethereum,58.47
ethereum,14.26
ethereum,15.566999999999998
ethereum,45.8015
ethereum,46.775999999999996
ethereum,59.4445
ethereum,25.0
ethereum,20.55549999999999
ethereum,30.0
ethereum,20.0
ethereum,5.0
ethereum,1.0
ethereum,50.0
ethereum,14.999999999999998
ethereum,2.0
ethereum,39.954499999999996
ethereum,38.980000000000004
ethereum,38.005500000000005
ethereum,30.0
ethereum,9.999999999999998
ethereum,500.0
ethereum,4.999999999999999
ethereum,50.0
ethereum,11.53000000000001
ethereum,5.0
ethereum,3.0
ethereum,50.00000000000001
ethereum,10.0
ethereum,10.0
ethereum,10.0
ethereum,80.0
ethereum,0.46999999999999886
ethereum,30.0
ethereum,6.0
ethereum,12.0
ethereum,2.0
ethereum,5.0
ethereum,17.847725806451535
ethereum,7.152274193548465
ethereum,3.5999999999999996
ethereum,119.99999999999996
ethereum,1.35
ethereum,15.25
ethereum,4.749999999999998
ethereum,25.0
ethereum,100.0
ethereum,327.9300000000001
ethereum,5.0
ethereum,5.0
ethereum,30.0
ethereum,20.0
ethereum,3.0
ethereum,60.0
ethereum,50.00000000000001
ethereum,4.0
ethereum,5.0
ethereum,90.06999999999992
ethereum,6.0
ethereum,3.930000000000092
ethereum,3.0
ethereum,10.0
ethereum,59.01639344262295
ethereum,7.369999999999999
ethereum,80.0
ethereum,30.0
ethereum,2.0
ethereum,237.99999999999997
ethereum,29.5
ethereum,29.5
ethereum,763.875
ethereum,3.5764888947646
ethereum,9.8
ethereum,10.0
ethereum,10.0
ethereum,5.8999999999999995
ethereum,2.0
ethereum,24.02801110523542
ethereum,2.0
ethereum,3.0000000000000004
ethereum,29.999999999999996
ethereum,10.0
ethereum,3.0000000000000004
ethereum,40.0
ethereum,100.0
ethereum,40.0
ethereum,5.5
ethereum,39.333333333333336
ethereum,2.0
ethereum,3.7344827586206897
ethereum,15.0
ethereum,2.0
ethereum,36.32079046542291
ethereum,10.0
ethereum,3.0
ethereum,49.13793103448277
ethereum,8.948999999999998
ethereum,2.0
ethereum,3.6000000000000005
ethereum,9.8
ethereum,2.827234999999999
ethereum,12.71404350009434
ethereum,1.6386555614312062
ethereum,0.3613444385687939
ethereum,2.0629031051671642
ethereum,3.0
ethereum,22.483963005276518
ethereum,1.5999999999999996
ethereum,4.9
ethereum,10.0
ethereum,147.0
ethereum,0.98
ethereum,15.0
ethereum,2.0
ethereum,10.0
ethereum,2.0
ethereum,10.0
ethereum,10.0
ethereum,3.84
ethereum,1.4791800000000008
ethereum,11.200000000000001
ethereum,18.8
ethereum,494.5
ethereum,3.0
ethereum,52.623000000000005
ethereum,51.648500000000006
ethereum,50.67400000000001
ethereum,5.8
ethereum,5.0
ethereum,147.0
ethereum,1.927560000000001
ethereum,7.0724399999999985
ethereum,12.927560000000001
ethereum,9.200000000000001
ethereum,3.0
ethereum,2.0
ethereum,2.0
ethereum,24.14227533156498
ethereum,50.00000000000001
ethereum,0.028191999999998885
ethereum,50.0
ethereum,2.0
ethereum,20.0
ethereum,1.8965517241379313
ethereum,20.0
ethereum,3.1153846153846154
ethereum,7.199999999999999
ethereum,4.8
ethereum,220.46
ethereum,2.7
ethereum,50.0
ethereum,23.724615384615426
ethereum,1.0
ethereum,0.058867924528301994
ethereum,12.483898148364608
ethereum,5.094642509253847
ethereum,1.0
ethereum,82.36259141785322
ethereum,5.0
ethereum,500.0
ethereum,5.0
ethereum,5.857724668435016
ethereum,9.62962962962963
ethereum,147.16981132075472
ethereum,20.0
ethereum,3.0
ethereum,1.0
ethereum,500.0
ethereum,300.0
ethereum,200.0
ethereum,40.0
ethereum,5.0
ethereum,150.0
ethereum,5.0
ethereum,20.0
ethereum,1.0
ethereum,30.0
ethereum,10.0
ethereum,3.52
ethereum,119.97180799999998
ethereum,285.74305306122454
ethereum,200.0
ethereum,17.16
ethereum,71.68
ethereum,0.7307742792538157
ethereum,106.90922572074618
ethereum,8.0
ethereum,6.698899000000001
ethereum,5.0
ethereum,39.827000000000005
ethereum,45.8015
ethereum,16.01321739130433
ethereum,5.0
ethereum,5.0
ethereum,0.7999999999999995
ethereum,11.6
ethereum,25.762782608695666
ethereum,11.6
ethereum,57.4955
ethereum,342.5045
ethereum,157.49550000000002
ethereum,2.9499999999999997
ethereum,1180.0
ethereum,8.85
ethereum,89.99999999999994
ethereum,1.18
ethereum,2.4
ethereum,12.6
ethereum,4.237217391304332
ethereum,5.0
ethereum,4.0
ethereum,5.0
ethereum,50.0
ethereum,2.0
ethereum,39.954499999999996
ethereum,38.980000000000004
ethereum,38.005500000000005
ethereum,59.0
ethereum,29.5
ethereum,5.8999999999999995
ethereum,3.54
ethereum,5000.0
ethereum,118.0
ethereum,2.9499999999999997
ethereum,5.8999999999999995
ethereum,2.0
ethereum,50.0
ethereum,9.574468085106384
ethereum,8.85
ethereum,4.090909090909091
ethereum,147.5
ethereum,1.8
ethereum,9.574468085106384
ethereum,6.8478260869565215
ethereum,29.5
ethereum,899.9999999999999
ethereum,1.18
ethereum,5.8999999999999995
ethereum,5.8999999999999995
ethereum,59.0
ethereum,2.0
ethereum,1.9565217391304348
ethereum,2.9499999999999997
ethereum,59.0
ethereum,20.0
ethereum,9.325482999999998
ethereum,200.0
ethereum,50.0
ethereum,30.000000000000004
ethereum,9.44
ethereum,2.9499999999999997
ethereum,1.18
ethereum,20.0
ethereum,2.0
ethereum,35.4
ethereum,58.47
ethereum,41.53000000000001
ethereum,29.5
ethereum,59.0
ethereum,5.8999999999999995
ethereum,59.0
ethereum,118.0
ethereum,2.0
ethereum,6.6
ethereum,5.8999999999999995
ethereum,2.04
ethereum,2.9499999999999997
ethereum,3.4
ethereum,84.60000000000001
ethereum,6.0
ethereum,118.0
ethereum,118.0
ethereum,1.0
ethereum,47.199999999999996
ethereum,59.0
ethereum,2.0
ethereum,17.6
ethereum,29.5
ethereum,2.0
ethereum,47.80000000000001
ethereum,100.0
ethereum,300.0
ethereum,15.000000000000002
ethereum,50.0
ethereum,200.0
ethereum,1.18
ethereum,0.1799999999999999
ethereum,50.0
ethereum,5.8999999999999995
ethereum,2950.0
ethereum,48.88888888888889
ethereum,20.0
ethereum,10.0
ethereum,30.000000000000004
ethereum,177.0
ethereum,60.00000000000001
ethereum,5.0
ethereum,81.0
ethereum,2.0
ethereum,40.0
ethereum,18.16
ethereum,200.0
ethereum,5.8999999999999995
ethereum,0.46811111111110654
ethereum,5.8999999999999995
ethereum,1.18
ethereum,249.96827345364505
ethereum,0.8518888888888935
ethereum,1.18
ethereum,1.77
ethereum,2950.0
ethereum,9.0
ethereum,1.2
ethereum,40.46333333333334
ethereum,59.148111111111106
ethereum,3.0
ethereum,5.5
ethereum,200.0
ethereum,24.444444444444446
ethereum,80.0
ethereum,118.0
ethereum,1.18
ethereum,2.3652739130434792
ethereum,8.85
ethereum,45.43460140999999
ethereum,5.8999999999999995
ethereum,8.0
ethereum,7.0
ethereum,59.0
ethereum,10.0
ethereum,635.0
ethereum,20.0
ethereum,0.59
ethereum,9.711349555555572
ethereum,26.48
ethereum,35.4
ethereum,5.8999999999999995
ethereum,0.40909090909090917
ethereum,20.0
ethereum,14.42989859000143
ethereum,74.07010140999857
ethereum,4.0
